Generation,  Identity,  Population
1, 1, 1
1, 2, 0
1, 3, 0
1, 4, 0
1, 5, 0
1, 6, 0
2, 1, 2
2, 2, 1.0
2, 3, 1
2, 4, 0
2, 5, 0
2, 6, 0
3, 1, 4
3, 2, 2.0
3, 3, 2
3, 4, 1.0
3, 5, 1.0
3, 6, 1.0
4, 1, 8
4, 2, 4.0
4, 3, 4
4, 4, 2.0
4, 5, 2.0
4, 6, 2.0
5, 1, 16
5, 2, 8.0
5, 3, 8
5, 4, 4.0
5, 5, 4.0
5, 6, 4.0
6, 1, 32
6, 2, 16.0
6, 3, 16
6, 4, 8.0
6, 5, 8.0
6, 6, 8.0
7, 1, 64
7, 2, 32.0
7, 3, 32
7, 4, 16.0
7, 5, 16.0
7, 6, 16.0
8, 1, 128
8, 2, 64.0
8, 3, 64
8, 4, 32.0
8, 5, 32.0
8, 6, 32.0
9, 1, 256
9, 2, 128.0
9, 3, 128
9, 4, 64.0
9, 5, 64.0
9, 6, 64.0
10, 1, 512
10, 2, 256.0
10, 3, 256
10, 4, 128.0
10, 5, 128.0
10, 6, 128.0
11, 1, 1024
11, 2, 512.0
11, 3, 512
11, 4, 256.0
11, 5, 256.0
11, 6, 256.0
12, 1, 2048
12, 2, 1024.0
12, 3, 1024
12, 4, 512.0
12, 5, 512.0
12, 6, 512.0
13, 1, 4096
13, 2, 2048.0
13, 3, 2048
13, 4, 1024.0
13, 5, 1024.0
13, 6, 1024.0
14, 1, 8192
14, 2, 4096.0
14, 3, 4096
14, 4, 2048.0
14, 5, 2048.0
14, 6, 2048.0
15, 1, 16384
15, 2, 8192.0
15, 3, 8192
15, 4, 4096.0
15, 5, 4096.0
15, 6, 4096.0
16, 1, 32768
16, 2, 16384.0
16, 3, 16384
16, 4, 8192.0
16, 5, 8192.0
16, 6, 8192.0
17, 1, 65536
17, 2, 32768.0
17, 3, 32768
17, 4, 16384.0
17, 5, 16384.0
17, 6, 16384.0
